observed_response_value,average_of_predicted_response_values,standard_deviation_of_predicted_response_values
0.6796684,-0.8844577150023212,0.7949864378974126
1.2518101,0.4793442022533006,1.17346244893514
-0.77596664,0.3612182898518998,0.7722727717692084
-0.23841952,0.29131848262273574,0.8207913708138275
-0.41604936,0.10269700950590448,0.8148434990773864
0.55060405,-0.3408617742168437,0.8209430555078372
0.9198349,-0.2337062266237245,0.7853217538900322
-0.7021204,-0.6237338977554977,0.8063672385888528
-0.032847654,-0.13125673056866946,0.8501176207416024
1.2278601,0.4432673897327197,0.8001848413598208
-0.28765023,0.0368638544716691,0.77628481532112
1.2617893,1.7507656182423672,1.1574930904657403
0.5718928,0.40561475142647707,0.8225424300518628
0.8446582,0.03860016071926194,0.8096862199154049
-1.8344285,0.051624524657846275,0.8700096940536636
0.5718928,0.7136510177319443,0.925829531563967
-0.43201622,-0.282988092048536,0.8070944369721204
-0.2550516,-0.13367587788976112,0.7955396909455551
0.52266204,0.1926972526511688,0.7886197245703003
0.11617529,-0.2051704643181923,0.7986201831837996
0.49272436,0.4887341397606998,0.8734159559781252
-0.78727627,-0.9369617805958491,0.7408893778840678
-1.146528,-0.5727380140340279,0.7966100469250958
0.12615474,-0.390261538750873,0.8302366248300203
-0.12066474,0.5006976398617494,0.9050614256756689
2.1239936,1.375092665678788,1.0538345436293062
-0.42137188,-0.24109864842194992,0.7614228417849354
3.1531835,0.4372693835622059,0.788427710155458
1.6596274,0.628597255396726,0.8459509325876
0.47609225,-0.46240335294166174,0.835213786832494
2.34021,0.5112506821493644,0.8415317036072838
1.4493986,-0.41947905403286895,1.0344211420239622
0.33904445,0.15999859735847063,0.8905095323868392
-0.05546716,-0.23078057133707525,0.8562210213144135
0.31575972,0.3351049695214659,0.7902834226306381
0.5319759,0.8312758286461188,0.9503312746704856
0.13812956,0.2537842520384433,0.8894399745205995
0.31110278,-0.31140405545042577,0.939717831857003
-1.1498545,-0.983911767637453,0.7786534870094333
0.1800424,0.6167670290616621,0.9316164584774824
0.54927325,-0.04924052858202417,0.9436586136370697
-0.17854412,-0.6251537896718584,0.8062954352767286
1.5831201,0.2618005389182183,0.7902020205432296
-1.2336799,-0.8399552774702967,0.760625678559774
-0.058128405,-0.3039523802851519,0.8143441818605951
-1.1032847,-0.2386659216950432,0.8298524206610516
-0.58436567,0.06592316864072625,0.790424641309726
-0.72740084,-0.794572397195398,0.7736694766961155
-0.3881077,-0.4089246310918443,0.8307408094070424
2.666863,-0.6414518044052544,0.8276153179596898
-0.61297256,-0.15770464581401708,0.8105247500380913
-1.3501042,-0.11822312510597884,0.846590968905272
-0.24440692,0.4108428655970281,0.7876042238264725
0.36166397,-0.12067031222051844,0.7892849915423813
