observed_docking_score,averaged_predicted_docking_score,belongs_to_lowest_10_percent
-6.204,-5.777679145525835,0
-6.555,-5.919714303818156,0
-4.852,-5.810661014144012,0
-6.501,-5.993567357160757,0
-4.772,-5.642198756991663,0
-5.166,-5.563633058706902,0
-7.444,-5.809822802069398,0
-6.267,-5.479049227953501,0
-7.555,-5.7828907263835525,1
-6.942,-6.314597546570294,0
-6.331,-6.378010104699057,0
-6.456,-6.268511775083888,0
-7.62,-6.076904218216984,1
-1.103,-5.570267886565114,0
-5.235,-5.587519251596718,0
-4.253,-5.583736267018967,0
-6.253,-5.4471468799711396,0
-6.831,-5.698789471275087,0
-5.087,-5.723183995357555,0
-7.549,-6.064374510472121,0
-8.597,-5.6417126450546915,1
-4.859,-5.921563106282103,0
-5.667,-5.8679110747208,0
-9.985,-6.054788847788278,1
-4.669,-5.843964707739354,0
-3.125,-6.03316386315555,0
-3.967,-5.33291325670572,0
-6.403,-6.122492070628424,0
-6.629,-5.953158236056462,0
-3.196,-5.531014852939893,0
-5.229,-5.81962371777775,0
-5.251,-6.280044984356657,0
-6.456,-5.695947552295892,0
-3.245,-6.057851801669976,0
-4.954,-5.607597856235137,0
-6.215,-5.841884166882589,0
-5.362,-6.188257197176669,0
-7.869,-6.156436671580023,1
-3.454,-5.692313821618489,0
-6.635,-5.942081931872238,0
-6.978,-5.561018663600301,0
-5.456,-5.609468471672427,0
-4.996,-5.95253569259045,0
-5.256,-5.694002967598429,0
-3.235,-5.802597383828355,0
-5.951,-5.501905938422825,0
-5.785,-5.918872491918696,0
-1.088,-5.349923757424282,0
-6.664,-5.818396588885175,0
-5.525,-5.9351049964347435,0
-7.124,-5.842921334400132,0
-4.341,-5.4214630361699445,0
-6.351,-5.437277133737301,0
-7.257,-5.61602977805428,0
-5.204,-6.132927328539613,0
-6.913,-5.671203722939284,0
-4.667,-5.713748222068674,0
-5.459,-5.548782441419953,0
-6.09,-6.055856030076677,0
-6.209,-5.855549927996755,0
-5.831,-5.455520688529815,0
-5.544,-5.7279893073017005,0
-5.174,-5.604439622350721,0
-5.45,-6.097112637712516,0
-5.361,-5.768763232425044,0
-7.161,-5.751546745663069,0
-6.973,-5.912427304408005,0
-3.117,-5.644485049381811,0
-4.044,-5.675114493939588,0
-6.442,-6.0560785481827475,0
-3.381,-6.193180327278593,0
-5.961,-5.2009890328447215,0
-2.619,-6.140462543503557,0
-6.187,-5.6463382639822965,0
-4.694,-5.665857667709404,0
-4.624,-5.906339456795996,0
-8.042,-6.017592653593143,1
-6.521,-5.631350268179989,0
-5.621,-6.171096851255914,0
-7.411,-5.762275628730513,0
-5.833,-5.526509912426247,0
-5.314,-5.751973178892457,0
-5.825,-5.746615481114013,0
-5.097,-5.743461196520933,0
-2.93,-6.035870967915593,0
-7.073,-6.273739569436688,0
-3.306,-6.076143278350835,0
-4.194,-5.679217533833325,0
-7.016,-5.912167473311514,0
-6.391,-6.017423256631412,0
-3.751,-6.1654281775342135,0
-5.919,-5.634340274880332,0
-3.54,-5.831034113557117,0
-6.04,-5.9589920067084705,0
-5.395,-5.821043749213543,0
-6.004,-6.009928036323173,0
-5.49,-6.182014345106694,0
-1.619,-5.566245313232461,0
-5.07,-5.983215635077222,0
-7.506,-5.977384882500198,0
-7.905,-6.003776305349225,1
-6.945,-5.590849070424325,0
-6.392,-5.790141721797946,0
-7.625,-5.792435160234958,1
-8.971,-6.148132540716027,1
-5.836,-5.402572911131674,0
-4.992,-6.072324847500997,0
-8.837,-6.099186462656759,1
-5.094,-5.906791259013061,0
-5.416,-5.841862546275423,0
-4.742,-5.883263410933767,0
-6.051,-5.613955460033898,0
-5.814,-6.0892615966574395,0
-6.528,-5.8492883014613675,0
-6.691,-5.8971319440759284,0
-3.998,-5.5952699945895334,0
-4.009,-5.591320326261492,0
-7.1,-5.529307877648737,0
-6.941,-5.942830466465042,0
-3.15,-5.615523774780288,0
-3.779,-5.302253205114083,0
-6.341,-5.477932277762064,0
-4.907,-5.883276386623243,0
-6.461,-5.85493633888673,0
-7.677,-6.250041496272732,1
-6.395,-5.512608884627967,0
-6.421,-6.233634999932605,0
-5.815,-6.152311424773077,0
-5.213,-5.700131726426545,0
-6.509,-5.993698613027849,0
-5.956,-5.821336656740713,0
-6.137,-5.594884323320025,0
-4.96,-6.102593042335129,0
-4.36,-5.791929645350095,0
-6.719,-5.514863308329794,0
-5.658,-6.100272329160062,0
-5.824,-5.716478980716557,0
-6.264,-6.0041741100882025,0
-6.842,-5.944847761825723,0
-5.96,-5.952230609135357,0
-4.554,-5.965986796636227,0
-5.2,-5.986465018878596,0
