observed_docking_score,averaged_predicted_docking_score,belongs_to_lowest_10_percent
-6.917,-5.94760740421416,0
-5.621,-6.119217336016685,0
-2.693,-5.298622514653286,0
-5.814,-5.742053143555352,0
-4.767,-5.414409384951486,0
-5.244,-5.996732875258397,0
-9.648,-5.728148646022837,1
-4.766,-5.788121239646089,0
-4.413,-5.593603751717805,0
-5.662,-6.02591892294901,0
-6.516,-5.66476085975862,0
-7.083,-5.997281330389452,0
-7.973,-5.707350039103878,1
-7.392,-5.937287506117827,0
-8.08,-5.878550910347127,1
-7.039,-5.903641387704084,0
-6.431,-5.385573895506035,0
-6.708,-5.3334222078531015,0
-5.724,-5.914496162322137,0
-5.746,-5.264766813061072,0
-5.266,-5.912570352986066,0
-8.742,-5.918673851009295,1
-6.58,-5.881299905811668,0
-3.974,-5.840063181012424,0
-4.914,-5.9048204457184434,0
-6.591,-6.084577797186028,0
-6.068,-6.105861058916917,0
-3.833,-5.415549614231003,0
-7.678,-6.068808296477032,1
-8.029,-5.933152764419114,1
-4.273,-6.150703301535615,0
-5.437,-6.04364003075491,0
-5.536,-5.456203236183849,0
-6.569,-5.920286412338116,0
-8.225,-5.83845116131816,1
-5.408,-5.913185441398161,0
-3.926,-5.786338850827949,0
-8.543,-5.962863704847635,1
-7.591,-6.076451298837799,1
-8.242,-5.874947665841014,1
-5.432,-6.113316125956625,0
-7.209,-5.960771006895403,0
-6.255,-5.7138895584726335,0
-5.89,-6.069591663571091,0
-6.132,-6.07387258317026,0
-3.553,-6.079845389454107,0
-4.475,-5.927918265781832,0
-6.607,-5.892956068404708,0
-5.444,-6.0576191651706175,0
-4.648,-5.745000057241818,0
-6.745,-6.253077908313475,0
-6.564,-5.868925832407726,0
-3.58,-5.394728894904984,0
-5.62,-5.819154014353444,0
-3.271,-5.3313803693824235,0
-4.701,-5.978711078239554,0
-6.443,-6.107272010063122,0
-7.199,-6.124991086612376,0
-7.434,-5.8752253826218555,0
-4.515,-6.056482444627984,0
-0.653,-6.0747688510411315,0
-4.422,-5.227912046993525,0
-6.018,-6.211448299509063,0
-7.497,-5.842691538127158,0
-9.528,-5.912676102447909,1
-6.944,-5.97900413406786,0
-6.709,-5.805536215499788,0
-3.795,-5.645353405328387,0
-7.021,-6.017955316676072,0
-7.585,-5.922538402008388,1
-4.42,-5.927423422061296,0
-8.419,-5.999158399464607,1
-8.15,-6.015847241822534,1
-5.849,-5.864462827733924,0
-4.555,-6.104182176123521,0
-5.018,-5.886530376119444,0
-5.567,-6.043752538167382,0
-3.352,-6.0901637283895305,0
-6.148,-6.163899536277258,0
-7.263,-5.674266340335915,0
-7.168,-5.913204845256316,0
-5.738,-6.166321350101728,0
-8.189,-5.389289943809608,1
-7.714,-5.8953567609242565,1
-4.433,-6.188790036323121,0
-5.828,-5.527423530449466,0
-5.8,-6.019707502811492,0
-6.468,-5.811778777508991,0
-5.917,-6.035501437561141,0
-6.248,-5.427865041671334,0
-5.515,-5.602701440556789,0
-7.733,-5.7142212171718505,1
-5.547,-5.886940957508365,0
-4.001,-5.9076579442207136,0
-3.149,-5.392275080903822,0
-6.486,-5.492713875568641,0
-4.877,-5.911797758465346,0
-6.699,-5.9246503140438564,0
-6.027,-6.141758497186168,0
-6.988,-5.778403016979277,0
-6.7,-5.310166593810048,0
-5.313,-5.405180228420623,0
-7.4,-5.988241124923115,0
-6.428,-5.929303700619367,0
-3.652,-5.965653718981068,0
-6.904,-5.894845389046493,0
-2.871,-5.798598982325386,0
-6.333,-5.897626421299081,0
-7.483,-5.678725219132913,0
-8.283,-5.847212036361962,1
-7.713,-5.270671345162996,1
-9.526,-6.06608830973247,1
-5.663,-6.024085013265213,0
-7.26,-5.908294045019373,0
-7.141,-5.93315448330777,0
-7.421,-5.998096622778252,0
-6.292,-5.915214886497974,0
-2.786,-5.421017790560137,0
-6.994,-5.948429257166399,0
-6.231,-6.057707030756004,0
-4.827,-5.8776997373044875,0
-4.956,-5.835654333608699,0
-3.456,-5.364299495946559,0
-7.908,-5.999262917178815,1
-4.396,-5.7847726004963596,0
-4.823,-5.847669213792949,0
-7.193,-5.422905662357015,0
-4.842,-5.9090503873742,0
-2.864,-5.888895926942473,0
-6.296,-5.871858100554357,0
-4.793,-5.723483376709103,0
-6.624,-5.425298175159477,0
-7.017,-5.836731086862144,0
