index,observed_response_value,average_of_predicted_response_values,standard_deviation_of_predicted_response_values
66338,0.83148855,0.4521205278339769,0.8604958181543557
66339,-0.05126617,0.6619172172315645,1.032465024685518
66340,-0.08547635,0.29792624303158344,0.8823286150978245
66341,1.1360254,0.30510418809226664,0.8251261799294584
66342,-0.42891896,-0.33333689758988744,0.8691412001650752
66343,0.23180558,0.11401528853988344,0.8329315406688486
66344,2.5138204,1.071113720766719,1.0383151529801433
66345,4.8025427,-0.20928886353296555,0.8354023540893399
66346,1.4707477,0.5236026006359361,0.8758598999635915
66347,-0.36787736,-0.43745071394073753,0.8125665275196184
66348,-1.3753985,-0.36718878736078997,0.8631947008427409
66349,-0.91926366,-0.6424508273349728,0.908237311344136
66350,0.41962555,0.7161659709485462,0.8597526188955494
66351,-0.5281955,-0.5316141616024211,0.8294054725486487
66352,1.1232805,0.715668903897128,0.9308845332768935
66353,0.2271101,0.2617791574466135,0.9100141935600903
66354,-0.6616819,-0.3561520397866135,0.8554170863330276
66355,-0.61003125,-0.1073122005898773,0.8738046424321865
66356,-0.500693,0.521881200305883,0.8773107689516887
66357,-0.48928982,-0.7628750628931389,0.8161562283576448
66358,0.57658964,0.06227897921394427,0.7840140348097357
66359,-0.87968725,-0.18927071710058488,0.8554504028935596
66360,0.6450097,0.24217665567106791,0.8518716607220859
66361,-0.30348206,-0.3047779330304905,0.8863907152385685
66362,-0.08748888,-0.021420876804136145,0.8633864732964521
66363,-0.7448594,-0.03646845784452214,0.8000956469212647
66364,-1.4672964,-0.09798203385577804,0.8431927435638251
66365,-0.41885725,-0.08694129533984314,0.8075017851053685
66366,0.017824605,0.24783345733694415,0.8642146839113845
66367,0.090940446,0.25973323801604087,0.8267808445670505
66368,-0.8756625,-0.5048917344420258,0.8116905245255297
66369,-0.6704021,-0.517381598231775,0.907984892770439
66370,-1.0628121,-0.282477670160096,0.8265293337803576
66371,-1.3156984,-0.4482621111010098,0.8219132338757579
66372,-0.94207036,-0.4485901148772071,0.8164032060312537
66373,1.4586735,0.5729507454119257,0.9785107619118603
66374,0.7603849,0.5634330270142978,0.9732131889974739
66375,-0.28335834,0.24084724179839867,0.9329950486171213
66376,0.7603849,-0.05570485252098679,0.9098285387298936
66377,-0.8293784,-0.597706012929071,0.8717410742048125
66378,0.11911334,0.3796340466907659,0.8107275025932744
66379,0.81203556,0.221905472740957,0.8967894263897466
66380,-1.1473311,-0.35509757883750814,0.8656997305520806
66381,1.4553196,0.6721584640242341,0.9061250579932212
66382,0.7771546,-0.20030120678934002,0.8171332796696518
