observed_response_value,average_of_predicted_response_values,standard_deviation_of_predicted_response_values
-0.28765023,0.33151053332537556,0.9733693506707902
1.2617893,0.31499424811512017,0.9778021508136407
0.5718928,0.3283614587822905,0.9812573205248258
0.8446582,0.2623191894712712,0.9823530380321823
-1.8344285,0.21427108837195039,0.9892695345463308
0.5718928,0.41626694051650587,0.9769074552951948
-0.43201622,0.06417736188240052,0.9850272667381786
-0.2550516,0.24327956690501587,0.9713882993776999
0.52266204,0.4267273553476175,0.9668701387067453
0.11617529,0.2988010115881147,0.9658400001581957
0.49272436,0.17779949938735082,0.9799407593180077
-0.78727627,0.10292417510037326,0.9585718871711547
-1.146528,0.1521189609246803,0.9584967323019781
0.12615474,0.28147206291583377,0.9986463887084929
-0.12066474,0.3467938287638602,0.9672572786544158
2.1239936,0.21526261952674086,0.979450818534928
-0.42137188,0.24332288694220752,0.9565324102329336
3.1531835,0.32591646316742157,0.9882731900319901
1.6596274,0.2404215084029414,0.9757502450253116
0.47609225,0.15866497592286888,0.9991426751658546
2.34021,0.40387010649252114,0.9834271118249751
1.4493986,0.11420577024907588,0.9739670283087974
0.33904445,0.3238706873733217,0.973607589730228
-0.05546716,0.10731483901504327,0.9733180169383272
0.31575972,0.31025963903519194,0.9703193876008049
0.5319759,0.3809198866513037,0.9712327389504744
0.13812956,0.3630944988080674,0.971753535588857
0.31110278,0.10663998479384966,0.9705373606840743
-1.1498545,0.08057014566351092,0.9857983199668048
0.1800424,0.29284327364783663,0.9799886924116644
0.54927325,0.22536156550060568,0.9552633049823668
-0.17854412,0.06668938968906442,0.9740609041978142
1.5831201,0.4674525976465353,0.9732538451272468
-1.2336799,0.13156711972221638,0.9742646531779475
-0.058128405,0.06374800090190702,0.9723049036328021
-1.1032847,0.2805494261657452,0.975729398497121
-0.58436567,0.26700171025387986,0.9803750474313256
-0.72740084,0.16576846757296482,0.9745517520414233
-0.3881077,0.16277751040342125,0.9739776343489867
2.666863,0.08277799690337512,0.9724899853108903
-0.61297256,0.32954689955010086,0.9586833986549469
-1.3501042,0.3342963441482943,0.9842837779426347
-0.24440692,0.3293768625088483,0.9675900479367157
0.36166397,0.1695913763516788,0.9890383958646826
-0.812557,0.28155373065091194,0.986554009151696
