Docking_Score,MolWt,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,LabuteASA,FractionCSP3,TPSA,HeavyAtomCount,NumHAcceptors,NumHDonors,MolLogP,MolMR
-6.959,420.85600000000017,0.323288890635741,-0.49457662327386115,0.49457662327386115,0.323288890635741,177.21270668450524,0.045454545454545456,89.28,30.0,5.0,2.0,5.709600000000004,115.8154
-6.457,301.383,0.21987939389527952,-0.3545275011413345,0.3545275011413345,0.21987939389527952,118.85325810303449,0.5,63.24,20.0,3.0,1.0,1.6977,76.65350000000004
-5.677,239.11199999999994,0.162690014063098,-0.2941844376574921,0.2941844376574921,0.162690014063098,86.27935224363591,0.36363636363636365,17.07,13.0,1.0,0.0,3.358200000000002,56.027500000000025
-5.62,411.52700000000016,0.24545171172643568,-0.32470743580123335,0.32470743580123335,0.24545171172643568,171.17639848528924,0.2727272727272727,79.37,29.0,4.0,1.0,3.889440000000003,115.31650000000005
-7.065,323.43999999999994,0.24819546484572472,-0.3699646062960544,0.3699646062960544,0.24819546484572472,143.42328322466784,0.35,49.57000000000001,24.0,3.0,1.0,2.886300000000001,98.10390000000004
-4.776,330.476,0.32156488942119116,-0.32447803881625714,0.32447803881625714,0.32156488942119116,144.4652705616721,0.5263157894736842,41.22,24.0,1.0,3.0,0.3021000000000021,96.95810000000006
-6.905,262.353,0.3214389735802203,-0.4945784849023199,0.4945784849023199,0.3214389735802203,114.29481417889927,0.5333333333333333,41.57000000000001,19.0,2.0,1.0,3.491600000000002,76.64870000000005
-7.897,335.40700000000004,0.2404358316246734,-0.3944314484993244,0.3944314484993244,0.2404358316246734,146.25849053201867,0.3,71.18,25.0,5.0,2.0,2.6645200000000004,94.97750000000002
-4.919,480.3840000000003,0.3243364056559685,-0.45791490567865706,0.45791490567865706,0.3243364056559685,177.83415351371127,0.3,89.77,29.0,6.0,1.0,3.451520000000002,112.81450000000004
-3.77,391.5810000000003,0.32133858160764217,-0.38412155720712027,0.38412155720712027,0.32133858160764217,167.36157940731832,0.6666666666666666,44.81,27.0,4.0,1.0,3.5583000000000027,113.71970000000007
-8.593,322.408,0.22595252844490107,-0.3909092025684667,0.3909092025684667,0.22595252844490107,141.69655155146165,0.4,53.43000000000001,24.0,3.0,1.0,1.8583999999999998,91.35780000000004
-7.132,324.40900000000005,0.22074740864084477,-0.3263383491808231,0.3263383491808231,0.22074740864084477,137.98132357437922,0.11764705882352941,66.91,23.0,5.0,2.0,4.2155200000000015,94.11040000000001
-7.732,339.25299999999993,0.1420994655133613,-0.4918684603034174,0.4918684603034174,0.1420994655133613,127.70474769517263,0.5,46.07000000000001,20.0,2.0,2.0,2.1632,81.65820000000004
-7.151,328.39700000000005,0.27157745758936264,-0.48948759427848587,0.48948759427848587,0.27157745758936264,137.37447823975825,0.4375,58.56,23.0,6.0,0.0,2.2747,87.71050000000005
-5.781,308.68100000000004,0.34657420355539786,-0.30996191213653757,0.34657420355539786,0.30996191213653757,122.48682584932428,0.08333333333333333,117.99000000000001,21.0,5.0,2.0,1.8922199999999998,75.6543
-6.664,314.26700000000005,0.3211770566960064,-0.33968430582223025,0.33968430582223025,0.3211770566960064,123.46601359191709,0.3076923076923077,71.26,22.0,4.0,1.0,2.5017200000000006,70.70370000000001
-5.679,332.22700000000015,0.22854043601043458,-0.3812488034491263,0.3812488034491263,0.22854043601043458,134.46502967856148,0.5333333333333333,38.77,21.0,3.0,0.0,3.5419000000000027,84.28200000000005
-4.6,266.341,0.24519239032314713,-0.37834131100383805,0.37834131100383805,0.24519239032314713,112.79234736461294,0.8571428571428571,81.41999999999999,19.0,3.0,2.0,0.5732999999999997,69.05910000000003
-7.514,324.4020000000001,0.3229905737099692,-0.4644392567068471,0.4644392567068471,0.3229905737099692,130.2597304043805,0.5333333333333333,66.92,22.0,5.0,0.0,0.4495,81.57580000000004
-8.547,409.46600000000007,0.3414897969060856,-0.4928421306080691,0.4928421306080691,0.3414897969060856,173.8029370669362,0.3181818181818182,78.15,30.0,6.0,0.0,1.3321999999999998,113.40720000000003
-7.003,411.44600000000014,0.27906120048928956,-0.34460691645549346,0.34460691645549346,0.27906120048928956,172.01442438435208,0.3684210526315789,123.52,30.0,8.0,2.0,-0.07647999999999877,110.54380000000005
-5.094,290.38199999999995,0.22282553804418984,-0.35303580021111475,0.35303580021111475,0.22282553804418984,125.07085742758261,0.5882352941176471,32.34,21.0,2.0,1.0,2.8773000000000017,80.27670000000005
-4.507,369.25199999999995,0.3173312592882754,-0.33739042076957365,0.33739042076957365,0.3173312592882754,149.66493502656235,0.4375,71.26,24.0,4.0,1.0,3.774020000000002,91.28070000000004
-6.317,362.8610000000001,0.31740075020428277,-0.3389965355841037,0.3389965355841037,0.31740075020428277,152.0915530284739,0.5,71.26,25.0,4.0,1.0,4.071720000000003,95.59870000000005
-6.646,234.29899999999998,0.32144736139080765,-0.4916999613964243,0.4916999613964243,0.32144736139080765,101.56492995010606,0.46153846153846156,41.57000000000001,17.0,2.0,1.0,2.713000000000001,67.43670000000004
-7.161,336.39500000000004,0.252735468917119,-0.34534103431476626,0.34534103431476626,0.252735468917119,145.07008992521102,0.21052631578947367,79.78,25.0,4.0,2.0,2.6684400000000004,95.98190000000002
-2.804,355.4380000000001,0.27538717115649186,-0.38664598545533096,0.38664598545533096,0.27538717115649186,152.93195502030437,0.5,69.81,26.0,5.0,1.0,2.261,96.72430000000004
-4.751,290.36699999999996,0.31835582936063983,-0.36996457907526104,0.36996457907526104,0.31835582936063983,124.44251541665227,0.4666666666666667,78.66999999999999,21.0,4.0,2.0,0.7821,82.03310000000005
-5.73,467.4980000000001,0.33689336228670264,-0.5720101009477523,0.5720101009477523,0.33689336228670264,190.4020096432226,0.16666666666666666,94.85,33.0,5.0,0.0,4.356000000000004,120.44530000000002
-5.156,292.4069999999999,0.2224828824145517,-0.3418788934821183,0.3418788934821183,0.2224828824145517,125.64051274635705,0.8,55.46,21.0,4.0,1.0,-0.725099999999997,78.80870000000004
-6.43,225.35599999999997,0.234007921554788,-0.35666555324061056,0.35666555324061056,0.234007921554788,98.36814056079022,0.9230769230769231,47.95,16.0,1.0,1.0,0.9031000000000005,63.56410000000004
-6.854,340.427,0.2711988800330106,-0.34791889680793303,0.34791889680793303,0.2711988800330106,147.4036072584529,0.42105263157894735,67.23,25.0,4.0,1.0,2.3915999999999995,95.51820000000005
-6.313,330.3880000000001,0.33161623376279026,-0.34899158692874266,0.34899158692874266,0.33161623376279026,138.86997304143856,0.5294117647058824,85.99000000000001,24.0,6.0,1.0,0.9406999999999996,91.11120000000005
-6.845,429.54200000000026,0.24213608912922438,-0.32549185413931786,0.32549185413931786,0.24213608912922438,177.28543693251527,0.36363636363636365,86.79,30.0,4.0,1.0,2.7993200000000016,116.96150000000004
-4.441,356.245,0.24373824054052107,-0.33907058059221096,0.33907058059221096,0.24373824054052107,126.16607740057327,0.15384615384615385,71.09,20.0,4.0,2.0,2.8859000000000004,82.52420000000002
-6.866,325.36800000000005,0.2605503379550665,-0.4795171574979368,0.4795171574979368,0.2605503379550665,139.64177140195494,0.2777777777777778,94.97999999999999,24.0,4.0,2.0,1.94712,89.63040000000004
-7.74,359.4290000000001,0.31729893343467536,-0.3367717276871616,0.3367717276871616,0.31729893343467536,151.34972462736076,0.5,67.49000000000001,26.0,4.0,2.0,-0.24859999999999727,92.93340000000002
-5.098,287.38,0.2429482978608475,-0.3484185564053414,0.3484185564053414,0.2429482978608475,113.21617391589673,0.5384615384615384,53.99,19.0,2.0,1.0,0.33792000000000044,70.71920000000003
-6.066,344.842,0.2468710763134774,-0.4945371163877726,0.4945371163877726,0.2468710763134774,146.71531889645644,0.3157894736842105,50.36,24.0,3.0,2.0,4.088820000000003,96.71140000000004
-7.375,472.5010000000002,0.25374274253013934,-0.496767769874537,0.496767769874537,0.25374274253013934,201.64427624476068,0.15384615384615385,115.58000000000001,35.0,7.0,2.0,4.4638000000000035,130.13939999999997
